,Statement,Link,Date
0,"Over 4,000 motorcycle road crashes recorded from January to April, PNP-HPG says",https://www.gmanetwork.com/news/topstories/nation/869085/over-4-000-motorcycle-road-crashes-recorded-from-january-to-april-pnp-hpg-says/story/,"May 05, 2023"
1,CAAP shortens May 17 air traffic management system maintenance to 2 hours,https://www.gmanetwork.com/news/topstories/nation/869080/caap-shortens-may-17-air-traffic-management-system-maintenance-to-2-hours/story/,"May 05, 2023"
2,75 PDLs with mild symptoms remain in isolation — BuCor,https://www.gmanetwork.com/news/topstories/nation/869077/75-pdls-with-mild-symptoms-remain-in-isolation-bucor/story/,"May 05, 2023"
3,Marcos says disengagement with China 'not an option',https://www.gmanetwork.com/news/topstories/nation/869067/marcos-says-disengagement-with-china-not-an-option/story/,"May 05, 2023"
4,Marcos to meet with British PM on the sidelines of King Charles III coronation,https://www.gmanetwork.com/news/topstories/nation/869056/marcos-to-meet-with-british-pm-on-the-sidelines-of-king-charles-iii-coronation/story/,"May 05, 2023"
5,Marcos: Abuses linked to war on drugs committed during 'previous administration',https://www.gmanetwork.com/news/topstories/nation/869049/marcos-abuses-linked-to-war-on-drugs-committed-during-previous-administration/story/,"May 05, 2023"
6,"Tobacco smokers struggling to quit have options, says group",https://www.gmanetwork.com/news/topstories/nation/869042/tobacco-smokers-struggling-to-quit-have-options-says-group/story/,"May 05, 2023"
7,Filipino family in Sudan walked 5 km to escape war zone,https://www.gmanetwork.com/news/topstories/nation/869036/filipino-family-in-sudan-walked-5-km-to-escape-war-zone/story/,"May 05, 2023"
8,Marcos lays wreath at Tomb of the Unknown Soldier in Arlington,https://www.gmanetwork.com/news/topstories/nation/869027/marcos-lays-wreath-at-tomb-of-the-unknown-soldier-in-arlington/story/,"May 04, 2023"
9,Naga College Foundation grad tops April 2023 Criminologists Licensure exam,https://www.gmanetwork.com/news/topstories/nation/869022/naga-college-foundation-grad-tops-april-2023-criminologists-licensure-exam/story/,"May 04, 2023"
10,"DOH tells hospitals, healthcare facilities to brace for El Niño",https://www.gmanetwork.com/news/topstories/nation/869016/doh-tells-hospitals-healthcare-facilities-to-brace-for-el-nino/story/,"May 04, 2023"
11,"LPP vows to monitor students, schools amid rising COVID-19 cases",https://www.gmanetwork.com/news/topstories/nation/869088/lpp-vows-to-monitor-students-schools-amid-rising-covid-19-cases/story/,"May 05, 2023"
12,"Teves, sons file motion to dismiss illegal possession of firearms raps",https://www.gmanetwork.com/news/topstories/nation/869082/teves-sons-file-motion-to-dismiss-illegal-possession-raps/story/,"May 05, 2023"
13,"Marcos hopes to work with US in creating virology, vaccine institute",https://www.gmanetwork.com/news/topstories/nation/869068/marcos-hopes-to-work-with-us-in-creating-virology-vaccine-institute/story/,"May 05, 2023"
14,Marcos: Bilateral defense guidelines with US ‘responsive’ to present challenges,https://www.gmanetwork.com/news/topstories/nation/869059/marcos-bilateral-defense-guidelines-with-us-responsive-to-present-challenges/story/,"May 05, 2023"
15,Marcos on China’s 'meddling' remark: I think it’s for US,https://www.gmanetwork.com/news/topstories/nation/869051/marcos-on-china-s-meddling-remark-i-think-it-s-for-us/story/,"May 05, 2023"
16,Marcos: No request from US for Pinoy troops if Taiwan tension rises,https://www.gmanetwork.com/news/topstories/nation/869046/marcos-no-request-from-us-for-pinoy-troops-if-taiwan-tension-rises/story/,"May 05, 2023"
17,"Cope Thunder interoperability exercises between PAF, USAF underway",https://www.gmanetwork.com/news/topstories/nation/869028/cope-thunder-interoperability-exercises-between-paf-usaf-underway/story/,"May 05, 2023"
18,"OCTA: NCR weekly COVID-19 positivity rate at 20.4% as of May 3, 2023",https://www.gmanetwork.com/news/topstories/nation/869032/octa-ncr-weekly-covid-19-positivity-rate-at-20-4-as-of-may-3-2023/story/,"May 04, 2023"
19,Critics say US using Philippines for its own agenda vs. China,https://www.gmanetwork.com/news/topstories/nation/868993/critics-say-us-using-philippines-for-its-own-agenda-vs-china/story/,"May 04, 2023"
20,PNP’s gun simulator system to help cops shoot better... sans bullets,https://www.gmanetwork.com/news/topstories/nation/869021/pnp-s-gun-simulator-system-to-train-cops-shoot-better-without-bullets/story/,"May 04, 2023"
21,China opposes ‘meddling’ in South China Sea amid PH-US defense guidelines,https://www.gmanetwork.com/news/topstories/nation/869014/china-opposes-meddling-in-south-china-sea-amid-ph-us-defense-guidelines/story/,"May 04, 2023"
